timestamp,model_type,batch_size,cpu_usage_percent,gpu_usage_percent,memory_usage_gb,power_consumption_watts,energy_kwh,carbon_intensity_gCO2_per_kWh,co2_emissions_g,inference_time_ms,accuracy_score
2025-01-01 00:00:00,XGBoost,32,41.83591010202581,72.02679239473956,2.2728997582347494,244.23437971196782,0.020352864975997316,509.453462063083,10.368837524924299,439.61655509812266,0.7614186891702404
2025-01-01 00:05:00,RandomForest,128,90.81071604484288,68.72830044131277,2.020469874087539,245.47636384965782,0.02045636365413815,361.86587152844186,7.4024598620074435,307.685947598815,0.8568587793763645
2025-01-01 00:10:00,RandomForest,32,72.21948505396944,9.575419866335766,31.28033456930335,148.24111536197114,0.01235342628016426,421.69279251443476,5.209350825203673,398.1384975190968,0.6084733898436587
2025-01-01 00:15:00,NeuralNetwork,128,60.88597115674811,92.25724049058,3.8162097103329806,274.9545684003283,0.022912880700027356,210.41276151967867,4.821162502463704,119.20130596714027,0.7135796554003602
2025-01-01 00:20:00,NeuralNetwork,32,23.261584437607105,56.84722021568196,62.42101832706722,135.7880257105091,0.011315668809209091,237.17494077877103,2.6837930796963527,180.8115377020901,0.9437745599515914
2025-01-01 00:25:00,XGBoost,128,23.259534228577223,36.372552113568425,15.768040821566302,110.49839918420875,0.009208199932017396,598.7643647637045,5.513541982911583,49.70691856930513,0.6905237145654551
2025-01-01 00:30:00,NeuralNetwork,256,14.937107034296954,75.65385834953067,31.305213220620374,157.65095877462196,0.013137579897885162,269.95389057882426,3.546540806224252,448.8368700748062,0.9531785993762535
2025-01-01 00:35:00,XGBoost,256,83.62497239086949,25.736545840163405,5.790533060757864,181.59537359643352,0.015132947799702793,549.5757138361332,8.316700589466604,478.61415807753986,0.8261517822610945
2025-01-01 00:40:00,LinearRegression,32,61.09477599817275,69.35098370463204,34.36700180261803,224.47050085357563,0.0187058750711313,554.4335162888915,10.371164090948044,430.15728529622277,0.952135409019814
2025-01-01 00:45:00,LinearRegression,64,70.18616911266386,3.971120757224722,25.557279759139327,106.34836125353823,0.008862363437794852,698.1129829857741,6.186930975863024,224.21835394394412,0.651039744355437
